"manyID","Title","Beg","Signature","Force","destaID","labptaID","trendID","treatyID","url","alt.url","Remarks","Language"
"ECPRTG_1972O:ECPRTG_1972O","EC Portugal1972","1972-01-01","1972-01-01","1972-01-01","338","#N/A","338","ECPRTG_1972O","""https://docs.wto.org/gattdocs/q/GG/L3799/3781A1.PDF""",NA,"",""
"ECSWDN_1972O","EC Sweden1972","1972-01-01","1972-01-01","1972-01-01","349","#N/A","349","ECSWDN_1972O","""https://docs.wto.org/gattdocs/q/GG/L3799/3782A1.PDF""",NA,"",""
"ARE-KWT[UAE]_1972O","Kuwait UAE1972","1972-01-01","1972-01-01","1972-01-01","554","#N/A","554","ARE-KWT[UAE]_1972O",NA,NA,"",""
"ASTREC_1972O","Austria EC1972","1972-01-01","1972-01-01","1972-01-01","85","#N/A","85","ASTREC_1972O","""https://docs.wto.org/gattdocs/q/GG/L3799/3783A1.PDF""",NA,"",""
"BTN-IND[NA]_1972O:BTN-IND[NA]_1949O","Bhutan India","1972-01-01","1972-01-01","1972-01-01","117","#N/A","117","BTN-IND[NA]_1972O:BTN-IND[NA]_1949O","""https://www.mea.gov.in/bilateral-documents.htm?dtl/5671/Agreement+on+Trade+and+Commerce""",NA,"",""
"CRBBNC_1973O","Caribbean Community (CARICOM)1973","1973-01-01","1973-01-01","1973-01-01","171","#N/A","171","CRBBNC_1973O","""https://edit.wti.org/app.php/document/show/pdf/a0c0b8de-e876-49bb-8626-c0581565110a""",NA,"",""
"CRI-PAN[NA]_1973O:CRI-PAN[NA]_1973O","Costa Rica Panama1973","1973-01-01","1973-01-01","1973-01-01","249","#N/A","250","CRI-PAN[NA]_1973O",NA,"""http://www.sice.oas.org/Trade/preftrade/pancoss.asp""","","Spanish"
"ECTRKS_1973P","EC Turkey Supplementary Protocol1973","1973-01-01","1973-01-01","1973-01-01","356","#N/A","358","ECTRKS_1973P","""https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:21973A0630(01)&qid=1645444430202&from=EN""",NA,"",""
"NIC-PAN[NA]_1973O","Nicaragua Panama1973","1973-01-01","1973-01-01","1973-01-01","633","#N/A","633","NIC-PAN[NA]_1973O","""http://www.sice.oas.org/Trade/preftrade/Pannics_Index.asp""",NA,"",""
"WSTAEC_1973O","West African Economic Community (CEAO)1973","1973-01-01","1973-01-01","1973-01-01","780","#N/A","780","WSTAEC_1973O","""https://treaties.un.org/doc/Publication/UNTS/Volume%201257/volume-1257-I-20641-English.pdf""",NA,"",""
"MAR-ALG[NA]_1973O:MAR-ALG[NA]_1973O","Algeria Morocco","1973-01-01","1973-01-01","#N/A","692","#N/A","#N/A","MAR-ALG[NA]_1973O:MAR-ALG[NA]_1973O",NA,NA,"",""
"GUY-PAN[NA]_1973O","Guyana Panama","1973-01-01","1973-01-01","#N/A","743","#N/A","#N/A","GUY-PAN[NA]_1973O",NA,NA,"",""
"BGR-FIN[NA]_1974O","Bulgaria Finland1974","1974-01-01","1974-01-01","1974-01-01","151","#N/A","151","BGR-FIN[NA]_1974O","""https://docs.wto.org/gattdocs/q/GG/L4199/4137A1.PDF""",NA,"",""
"CZE-FIN[CZC]_1974O","Czechoslovakia Finland1974","1974-01-01","1974-01-01","1974-01-01","290","#N/A","290","CZE-FIN[CZC]_1974O","""https://docs.wto.org/gattdocs/q/GG/L4199/4138A1.PDF""",NA,"",""
