manyID,Title,Signature,Force,End,url,No_source,treatyID,Coder,Citation
GUY-VEN[VNZ]_1990O,Guyana Venezuela,27.10.1990,28.06.1991,31.12.9999,"""http://www.sice.oas.org/Trade/vengu/vengu.asp""",NA,GUY-VEN[VNZ]_1990O,Anders,
AFRCEC_1991O,African Economic Community,03.06.1991,12.05.1994,31.12.9999,"""https://au.int/sites/default/files/treaties/37636-treaty-0016_-_treaty_establishing_the_african_economic_community_e.pdf""",NA,AFRCEC_1991O,Anders,
ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O,Argentina Chile,02.08.1991,02.08.1991,31.12.9999,"""http://www.sice.oas.org/Trade/argchi/indice_s.asp""",NA,ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O,Anders,
AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O,Australia Papua New Guinea,21.02.1991,20.09.1991,31.12.9999,"""http://www.austlii.edu.au/au/other/dfat/treaties/1991/37.html""",NA,AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O,Anders,
ECFRIS_1991O:ECFRIS_1991O,EC Faroe Islands,02.12.1991,NA,01.01.1997,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/ecfarisfta.pdf&mode=download""",NA,ECFRIS_1991O:ECFRIS_1991O,Anders,
MERCSR_1991O,MERCOSUR,26.03.1991,06.12.1991,31.12.9999,"""https://wits.worldbank.org/GPTAD/PDF/archive/MERCOSUR.pdf""",NA,MERCSR_1991O,Anders,
IND-NPL[NA]_1991O:IND-NPL[NA]_1991O,India Nepal,06.12.1991,06.12.1991,26.10.2009,"""https://wits.worldbank.org/GPTAD/PDF/archive/India-Nepal.pdf""",NA,IND-NPL[NA]_1991O,Anders,
LAO-THA[LAS]_1991O,Lao Peoples Democratic Republic Thailand,20.06.1991,20.06.1991,31.12.9999,"""https://www.wto.org/gatt_docs/English/SULPDF/91600059.pdf""",NA,LAO-THA[LPD]_1991O,Anders,
EFTTRK_1991O:EFTTRK_1991O,EFTA Turkey,10.12.1991,01.04.1992,25.06.2018,"""https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Turkey.pdf""",NA,EFTTRK_1991O,Anders,
ECHNGR_1991O,EC Hungary,16.12.1991,01.02.1994,01.05.2004,"""https://wits.worldbank.org/GPTAD/PDF/archive/EC-Hungary.pdf""",NA,ECHNGR_1991O,Anders,
ECPLND_1991O,EC Poland,16.12.1991,01.02.1994,01.05.2004,"""https://wits.worldbank.org/GPTAD/PDF/archive/EC-Poland.pdf""",NA,ECPLND_1991O,Anders,
ECSNMR_1991O,EC San Marino,16.12.1991,01.04.2002,31.12.9999,"""https://wits.worldbank.org/GPTAD/PDF/archive/EC-SanMarino.pdf""",NA,ECSNMR_1991O,Anders,
AZE-RUS[RSS]_1992O,Azerbaijan Russia,30.09.1992,17.02.1993,31.12.9999,"""http://rtais.wto.org/rtadocs/830/TOA/English/RF-Azerbaijan%20FTA_text%20with%20protocols.doc""",NA,AZE-RUS[RSS]_1992O,Anders,
CRBBCV_1992O,Caribbean Community (CARICOM) Venezuela,13.10.1992,01.01.1993,31.12.9999,"""http://www.sice.oas.org/trade/cariven1.asp""",NA,CRBBCV_1992O,Anders,
ECMSTR_1992O,EC Maastricht,07.02.1992,01.11.1993,31.12.9999,"""https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:11992M/TXT&from=EN""",NA,ECMSTR_1992O,Anders,
JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O,Jordan Lebanon,01.10.1992,NA,NA,"""http://www2.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-150042.pdf""",NA,JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O,Anders,
LVA-SWE[NA]_1992O,Latvia Sweden,10.03.1992,06.11.1992,NA,"""https://www.un-ilibrary.org/content/books/9789210453561s002-c012/read""",1,LVA-SWE[NA]_1992O,Anders,
CHE-LVA[NA]_1992O,Latvia Switzerland,22.12.1992,01.03.1994,01.05.2004,"""NA""",1,CHE-LVA[NA]_1992O,Anders,
NAM-ZWE[NA]_1992O,Namibia Zimbabwe,17.08.1992,30.04.1993,31.12.9999,"""https://wits.worldbank.org/GPTAD/PDF/archive/Namibia-Zimbabwe.pdf""",NA,NAM-ZWE[NA]_1992O,Anders,
RUS-TKM[RSS]_1992O,Russia Turkmenistan,11.11.1992,06.04.1993,NA,"""http://rtais.wto.org/rtadocs/862/TOA/English/Text%20of%20Agreement%20RF-Turkmenistan.docx""",NA,RUS-TKM[RSS]_1992O,Anders,
STHADC_1992O:STHADC_1992O,Southern African Development Community (SADC),17.08.1992,30.09.1993,31.12.9999,"""https://www.jus.uio.no/english/services/library/treaties/09/9-01/sadc_treaty_consolidated.xml""",NA,STHADC_1992O:STHADC_1992O,Anders,
ERPNEA_1992O,European Economic Area (EEA),17.03.1993,01.01.1994,31.12.9999,"""https://www.efta.int/media/documents/legal-texts/eea/the-eea-agreement/Main%20Text%20of%20the%20Agreement/EEAagreement.pdf""",NA,ERPNEA_1992O,Anders,
FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O,Faroe Islands Iceland,06.08.1992,01.07.1993,31.10.2006,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/farisicefta.pdf&mode=download""",NA,FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O,Anders,
KGZ-RUS[RSS]_1992O,Kyrgyzstan Russia,08.10.1992,24.04.1993,NA,"""https://wits.worldbank.org/GPTAD/PDF/archive/Kyrgyzstan-RussianFed.pdf""",NA,KGZ-RUS[RSS]_1992O,Anders,
FRO-NOR[NA]_1992O,Faroe Islands Norway,28.08.1992,01.07.1993,NA,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/farisnorfta.pdf&mode=download""",NA,FRO-NOR[NA]_1992O,Anders,
