Common.Name,Membership,Type,Date.of.Signature,Date.of.Entry.into.Force,WTO.notified,In.force.status,Annexes.Available
Bulgaria - Macedonia,"Bulgaria, Macedonia",Bilateral Free Trade Agreement,10/13/1999,01/01/2000,yes,expired,NA
Bulgaria - Turkey,"Bulgaria, Turkey",Bilateral Free Trade Agreement,07/11/1998,01/01/1999,yes,expired,NA
Canada - Chile,"Canada, Chile",Bilateral Free Trade Agreement,12/05/1996,07/05/1997,yes,in force,NA
Canada - Colombia,"Canada, Colombia\r\n",Bilateral Free Trade Agreement,n/a,N/A,,,NA
Canada - Costa Rica,"Canada, Costa Rica",Bilateral Free Trade Agreement,04/23/2001,11/01/2002,yes,in force,NA
Canada - EFTA,"Canada, EFTA (Iceland, Lichtenstein, Norway, Switzerland),",Bilateral Free Trade Agreement,01/26/2008,07/01/2009,yes,in force,NA
Canada - Israel,"Canada, Israel",Bilateral Free Trade Agreement,07/31/1996,01/01/1997,yes,in force,NA
Canada - Peru,"Canada, Peru",Bilateral Free Trade Agreement,05/29/2008,08/01/2009,yes,in force,NA
CARICOM,"Antigua, Bahamas, Barbados, Belize, Dominica, Grenada, Guyana, Jamaica, Montserrat, St. Kitts-Nevis-Anguilla, St. Lucia, St. Vincent, Trinidad and Tobago\r\n\r\n\r\n",Customs Union Primary Agreement,07/04/1973,08/01/1973,yes,in force,NA
CARICOM - Colombia,"Caribbean Community, Colombia",Bilateral Free Trade Agreement,07/24/1994,N/A,no,unknown,NA
CARICOM - Costa Rica,"Antigua and Barbuda, Barbados, Belize, Dominica, Grenada, Guyana, Jamaica, St. Kitts and Nevis, Saint Lucia, St. Vincent and the Grenadines, Suriname and Trinidad and Tobago, Costa Rica",Regional/Plurilateral Free Trade Agreement,03/09/2004,N/A,no,unknown,NA
CARICOM - Cuba,"Antigua and Barbuda; Bahamas; Barbados; Belize; Dominica; Grenada; Guyana; Haiti; Jamaica; Montserrat; Saint Kitts and Nevis; Saint Lucia; Saint Vincent and the Grenadines; Suriname; Trinidad and Tobago, Cuba",Regional/Plurilateral Free Trade Agreement,07/05/2000,01/01/2001,no,in force,NA
CARICOM - Dominican Republic,"CARICOM(Antigua and Barbuda, Barbados, Belize, Dominica, Grenada, Guyana, Jamaica, Montserrat, St. Kitts and Nevis, Saint Lucia, St. Vincent and the Grenadines, Suriname and Trinidad and Tobago), Dominican Republic",Regional/Plurilateral Free Trade Agreement,08/22/1998,01/01/1999,no,in force,NA
CARICOM - Venezuela,"Antigua and Barbuda; Bahamas; Barbados; Belize; Dominica; Grenada; Guyana; Haiti; Jamaica; Montserrat; Saint Kitts and Nevis; Saint Lucia; Saint Vincent and the Grenadines; Suriname; Trinidad and Tobago, Venezuela",Regional/Plurilateral Free Trade Agreement,10/13/1992,N/A,no,signed - not yet in force,NA
CEFTA,"Czech Republic, Hungary, Poland, Slovakia",Regional/Plurilateral Free Trade Agreement,12/21/1992,07/01/1994,yes,expired,NA
CEFTA - Croatia,"CEFTA(Bulgaria, Croatia, Czech Republic, Hungary, Poland, Romania, Slovak Republic and Slovenia), Croatia",Association Free Trade Agreement,12/05/2002,03/01/2003,yes,in force,NA
CEFTA 2006,"Albania, Bosnia & Herzegovina, Bulgaria, Croatia, Macedonia, Moldova, Montenegro, Romania, Serbia\r\n\r\n\r\n\r\n\r\n\r\n",Regional/Plurilateral Free Trade Agreement,12/19/2006,05/01/2007,yes,in force,NA
CEFTA Accession of Bulgaria,"CEFTA (Czech Republic, Hungary, Poland, Romania, Slovak Republic, Slovenia), Bulgaria",Regional/Plurilateral Free Trade Agreement,n/a,01/01/1999,yes,expired,NA
CEFTA Accession of Croatia,"Bulgaria, Croatia, Czech Republic, Hungary, Poland, Romania, Slovak Republic and Slovenia",Regional/Plurilateral Free Trade Agreement,12/05/2002,03/01/2003,yes,in force,NA
CEFTA Accession of Romania,"CEFTA (Czech Republic, Hungary, Poland, Slovak Republic, Slovenia), Romania",Regional/Plurilateral Free Trade Agreement,04/12/1997,07/01/1997,yes,expired,NA
CEFTA Accession of Slovenia,"CEFTA (Czech Republic, Hungary, Poland, Slovak Republic), Slovenia",Regional/Plurilateral Free Trade Agreement,11/25/1995,N/A,yes,expired,NA
CEMAC,"Cameroun, Centrafricaine, Congo, Gabonaise, Guinée Équatoriale, Tchad",Regional/Plurilateral Free Trade Agreement,03/16/1994,06/24/1999,yes,in force,NA
Central America - Dominican Republic - United States (CAFTA -DR),"Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua, United States",Association Free Trade Agreement,08/01/2004,03/01/2006,yes,in force,NA
Central America - Mexico,"El Salvador, Guatemala, Honduras, Mexico",Regional/Plurilateral Free Trade Agreement,06/29/2000,03/15/2001,no,in force,NA
Central American Common Market (CACM),"El Salvador, Guatemala, Honduras, Nicaragua",Regional/Plurilateral Free Trade Agreement,12/13/1960,10/12/1961,yes,in force,NA
